Vardas              Pavarde             ND1	   ND2	   ND3	   ND4	   ND5	   ND6	   ND7	   ND8	   ND9	   ND10	  Egz.
Vardas888           Pavarde888          3    	9    	8    	10   	9    	8    	2    	1    	1    	5    	10   	
Vardas889           Pavarde889          8    	1    	9    	4    	7    	6    	1    	1    	3    	10   	1    	
Vardas890           Pavarde890          2    	3    	10   	2    	6    	9    	5    	3    	2    	8    	4    	
Vardas891           Pavarde891          4    	3    	3    	3    	1    	6    	2    	9    	9    	7    	1    	
Vardas892           Pavarde892          9    	8    	10   	2    	7    	1    	5    	1    	3    	4    	8    	
Vardas893           Pavarde893          8    	6    	4    	8    	10   	5    	2    	7    	9    	3    	1    	
Vardas894           Pavarde894          5    	10   	2    	7    	3    	3    	10   	6    	10   	1    	6    	
Vardas895           Pavarde895          8    	1    	1    	9    	7    	10   	1    	7    	5    	2    	6    	
Vardas896           Pavarde896          3    	1    	7    	7    	8    	2    	8    	9    	6    	8    	5    	
Vardas897           Pavarde897          3    	3    	8    	1    	1    	3    	10   	3    	6    	9    	7    	
Vardas898           Pavarde898          4    	2    	9    	5    	2    	4    	2    	8    	3    	2    	5    	
Vardas899           Pavarde899          1    	9    	8    	2    	5    	1    	9    	10   	2    	8    	2    	
Vardas900           Pavarde900          5    	1    	10   	5    	5    	3    	10   	4    	7    	10   	5    	
Vardas901           Pavarde901          1    	8    	7    	7    	3    	1    	1    	1    	4    	8    	7    	
Vardas902           Pavarde902          4    	4    	6    	8    	6    	5    	9    	7    	6    	6    	2    	
Vardas903           Pavarde903          7    	6    	10   	8    	9    	4    	7    	9    	1    	5    	3    	
Vardas904           Pavarde904          4    	2    	10   	1    	4    	8    	2    	1    	10   	2    	4    	
Vardas905           Pavarde905          5    	1    	3    	1    	9    	6    	1    	4    	8    	7    	1    	
Vardas906           Pavarde906          4    	4    	1    	9    	6    	10   	10   	1    	2    	7    	2    	
Vardas907           Pavarde907          9    	8    	10   	1    	2    	7    	1    	4    	4    	4    	3    	
Vardas908           Pavarde908          7    	1    	9    	10   	5    	1    	5    	9    	3    	6    	9    	
Vardas909           Pavarde909          10   	5    	3    	3    	6    	9    	9    	7    	10   	9    	3    	
Vardas910           Pavarde910          3    	5    	6    	8    	9    	6    	4    	10   	4    	10   	1    	
Vardas911           Pavarde911          8    	9    	7    	5    	5    	3    	9    	6    	2    	8    	6    	
Vardas912           Pavarde912          1    	4    	3    	8    	6    	8    	3    	6    	10   	9    	6    	
Vardas913           Pavarde913          9    	9    	3    	3    	9    	6    	2    	3    	7    	8    	3    	
Vardas914           Pavarde914          7    	5    	9    	2    	7    	8    	6    	6    	5    	6    	9    	
Vardas915           Pavarde915          7    	1    	3    	10   	5    	6    	1    	9    	6    	5    	2    	
Vardas916           Pavarde916          2    	5    	9    	4    	3    	10   	8    	2    	3    	5    	4    	
Vardas917           Pavarde917          1    	3    	10   	10   	7    	5    	3    	9    	7    	5    	2    	
Vardas918           Pavarde918          9    	7    	2    	8    	10   	5    	3    	10   	2    	6    	5    	
Vardas919           Pavarde919          8    	2    	2    	7    	6    	7    	9    	1    	10   	10   	1    	
Vardas920           Pavarde920          5    	8    	2    	8    	2    	1    	2    	1    	4    	4    	4    	
Vardas921           Pavarde921          10   	4    	2    	7    	8    	10   	8    	10   	2    	6    	8    	
Vardas922           Pavarde922          5    	3    	1    	6    	5    	3    	8    	10   	3    	2    	9    	
Vardas923           Pavarde923          7    	7    	5    	7    	1    	1    	7    	6    	6    	1    	1    	
Vardas924           Pavarde924          5    	4    	1    	4    	5    	7    	10   	3    	2    	5    	8    	
Vardas925           Pavarde925          1    	6    	2    	9    	8    	9    	2    	6    	2    	4    	8    	
Vardas926           Pavarde926          5    	6    	5    	8    	8    	6    	8    	6    	4    	5    	9    	
Vardas927           Pavarde927          3    	3    	2    	6    	10   	6    	4    	4    	7    	5    	3    	
Vardas928           Pavarde928          10   	1    	4    	2    	9    	7    	9    	5    	4    	1    	7    	
Vardas929           Pavarde929          1    	4    	5    	3    	5    	9    	4    	2    	7    	4    	6    	
Vardas930           Pavarde930          7    	7    	5    	6    	9    	1    	8    	8    	2    	8    	9    	
Vardas931           Pavarde931          8    	8    	8    	3    	3    	8    	3    	7    	8    	4    	4    	
Vardas932           Pavarde932          7    	6    	6    	9    	4    	9    	10   	10   	6    	6    	6    	
Vardas933           Pavarde933          1    	1    	5    	1    	6    	5    	2    	4    	4    	9    	8    	
Vardas934           Pavarde934          7    	4    	10   	5    	1    	9    	10   	1    	5    	1    	2    	
Vardas935           Pavarde935          1    	7    	2    	7    	7    	4    	7    	2    	7    	3    	5    	
Vardas936           Pavarde936          8    	10   	7    	7    	1    	9    	5    	8    	1    	8    	10   	
Vardas937           Pavarde937          10   	7    	3    	8    	4    	9    	7    	8    	2    	2    	8    	
Vardas938           Pavarde938          4    	10   	7    	2    	9    	5    	1    	5    	10   	6    	3    	
Vardas939           Pavarde939          8    	9    	8    	6    	9    	1    	1    	3    	6    	4    	5    	
Vardas940           Pavarde940          8    	10   	9    	3    	9    	5    	7    	10   	6    	6    	9    	
Vardas941           Pavarde941          1    	10   	1    	7    	1    	2    	8    	7    	1    	3    	1    	
Vardas942           Pavarde942          7    	6    	7    	7    	5    	3    	9    	1    	4    	6    	1    	
Vardas943           Pavarde943          1    	5    	2    	8    	8    	2    	10   	2    	8    	7    	3    	
Vardas944           Pavarde944          1    	3    	3    	10   	5    	9    	9    	9    	5    	7    	8    	
Vardas945           Pavarde945          2    	1    	3    	1    	2    	3    	5    	4    	10   	7    	8    	
Vardas946           Pavarde946          3    	5    	3    	5    	8    	3    	9    	7    	1    	10   	2    	
Vardas947           Pavarde947          7    	7    	3    	6    	1    	7    	4    	3    	5    	2    	4    	
Vardas948           Pavarde948          8    	10   	9    	4    	8    	10   	4    	10   	9    	4    	6    	
Vardas949           Pavarde949          7    	3    	4    	6    	5    	2    	8    	1    	8    	4    	2    	
Vardas950           Pavarde950          3    	1    	2    	8    	10   	4    	7    	6    	6    	1    	1    	
Vardas951           Pavarde951          5    	4    	8    	6    	9    	7    	2    	7    	1    	1    	6    	
Vardas952           Pavarde952          10   	9    	3    	4    	8    	8    	6    	4    	9    	2    	6    	
Vardas953           Pavarde953          8    	4    	4    	4    	9    	2    	10   	4    	3    	6    	5    	
Vardas954           Pavarde954          10   	4    	5    	5    	6    	7    	9    	2    	2    	1    	2    	
Vardas955           Pavarde955          5    	2    	6    	3    	3    	10   	10   	2    	7    	2    	5    	
Vardas956           Pavarde956          7    	3    	1    	1    	6    	1    	1    	5    	8    	5    	3    	
Vardas957           Pavarde957          8    	4    	3    	1    	10   	4    	8    	10   	8    	8    	6    	
Vardas958           Pavarde958          8    	2    	8    	7    	3    	5    	10   	6    	10   	5    	8    	
Vardas959           Pavarde959          2    	2    	1    	10   	5    	9    	8    	2    	6    	4    	2    	
Vardas960           Pavarde960          5    	6    	3    	4    	5    	5    	2    	5    	10   	9    	5    	
Vardas961           Pavarde961          5    	6    	10   	1    	4    	3    	5    	6    	9    	7    	8    	
Vardas962           Pavarde962          6    	2    	4    	7    	8    	1    	5    	1    	10   	5    	6    	
Vardas963           Pavarde963          1    	1    	4    	6    	10   	3    	4    	4    	6    	8    	8    	
Vardas964           Pavarde964          3    	6    	5    	7    	8    	6    	4    	5    	3    	2    	8    	
Vardas965           Pavarde965          10   	6    	9    	3    	6    	5    	2    	9    	4    	1    	6    	
Vardas966           Pavarde966          7    	2    	8    	8    	1    	2    	6    	5    	9    	6    	7    	
Vardas967           Pavarde967          1    	10   	2    	10   	9    	5    	3    	8    	7    	6    	5    	
Vardas968           Pavarde968          3    	10   	5    	8    	5    	7    	5    	1    	6    	2    	5    	
Vardas969           Pavarde969          5    	7    	7    	3    	4    	9    	1    	2    	5    	9    	3    	
Vardas970           Pavarde970          6    	1    	4    	9    	3    	2    	1    	7    	10   	9    	10   	
Vardas971           Pavarde971          5    	8    	9    	9    	2    	9    	5    	8    	1    	9    	5    	
Vardas972           Pavarde972          9    	6    	8    	9    	3    	3    	6    	2    	5    	8    	10   	
Vardas973           Pavarde973          4    	10   	6    	9    	8    	7    	3    	7    	2    	1    	2    	
Vardas974           Pavarde974          5    	2    	9    	8    	4    	6    	1    	1    	9    	5    	1    	
Vardas975           Pavarde975          1    	10   	1    	9    	7    	9    	4    	5    	3    	1    	9    	
Vardas976           Pavarde976          2    	1    	9    	8    	7    	7    	4    	9    	6    	6    	9    	
Vardas977           Pavarde977          6    	4    	8    	1    	5    	4    	10   	2    	7    	3    	6    	
Vardas978           Pavarde978          10   	8    	2    	8    	8    	8    	3    	10   	6    	3    	5    	
Vardas979           Pavarde979          2    	4    	7    	8    	2    	3    	1    	10   	7    	5    	7    	
Vardas980           Pavarde980          10   	7    	7    	7    	10   	2    	5    	2    	7    	8    	1    	
Vardas981           Pavarde981          10   	8    	1    	6    	9    	5    	8    	6    	10   	4    	3    	
Vardas982           Pavarde982          10   	6    	5    	4    	9    	2    	3    	9    	6    	3    	5    	
Vardas983           Pavarde983          5    	3    	8    	10   	3    	4    	3    	5    	8    	5    	6    	
Vardas984           Pavarde984          1    	9    	3    	10   	5    	5    	6    	9    	9    	8    	4    	
Vardas985           Pavarde985          4    	10   	2    	6    	10   	3    	4    	8    	3    	7    	7    	
Vardas986           Pavarde986          7    	4    	4    	2    	4    	6    	7    	8    	6    	2    	6    	
Vardas987           Pavarde987          5    	4    	9    	5    	3    	9    	9    	4    	6    	2    	5    	
Vardas988           Pavarde988          5    	3    	4    	8    	9    	2    	2    	1    	4    	10   	2    	
Vardas989           Pavarde989          1    	8    	3    	6    	9    	8    	7    	7    	6    	4    	3    	
Vardas990           Pavarde990          2    	10   	7    	3    	6    	10   	9    	2    	10   	5    	5    	
Vardas991           Pavarde991          5    	3    	10   	1    	6    	2    	6    	1    	7    	9    	9    	
Vardas992           Pavarde992          10   	1    	2    	6    	8    	9    	8    	5    	3    	1    	9    	
Vardas993           Pavarde993          4    	1    	5    	8    	9    	3    	6    	10   	3    	6    	7    	
Vardas994           Pavarde994          8    	2    	8    	3    	7    	3    	5    	8    	6    	9    	1    	
Vardas995           Pavarde995          4    	4    	6    	5    	3    	6    	4    	6    	3    	8    	5    	
Vardas996           Pavarde996          5    	2    	7    	4    	9    	5    	1    	7    	5    	10   	1    	
Vardas997           Pavarde997          5    	1    	8    	1    	8    	4    	3    	5    	3    	1    	3    	
Vardas998           Pavarde998          3    	3    	9    	9    	5    	6    	8    	7    	9    	8    	4    	
Vardas999           Pavarde999          7    	2    	2    	3    	9    	10   	6    	3    	1    	9    	9    	
Vardas1000          Pavarde1000         8    	7    	9    	4    	8    	10   	5    	8    	1    	10   	5    	
